step,loss,l_attack,l_perc,l_ssim,l_temp,lr,val_mean_jf_clean,val_mean_jf_adv,val_delta_jf,vid_vid_mean_jf_clean,vid_vid_mean_jf_adv,vid_vid_delta_jf
2320,0.10357038676738739,0.10357038676738739,0.0,0.0,0.0,3.0039268659653912e-05,,,,,,
2330,0.568817675113678,0.5683497190475464,0.0,0.0009358702227473259,0.0,2.9898750971193916e-05,,,,,,
2340,0.22617046535015106,0.2196720391511917,0.0,0.012996848672628403,0.0,2.97581385841529e-05,,,,,,
2350,0.06389138847589493,0.06389138847589493,0.0,0.0,0.0,2.961743704966714e-05,,,,,,
2360,0.10238294303417206,0.10238294303417206,0.0,0.0,0.0,2.9476651922392277e-05,,,,,,
2370,0.12714654207229614,0.12714654207229614,0.0,0.0,0.0,2.9335788760284107e-05,,,,,,
2380,0.23540712893009186,0.23540712893009186,0.0,0.0,0.0,2.9194853124379045e-05,,,,,,
2390,0.048238445073366165,0.04821579530835152,0.0,4.530232399702072e-05,0.0,2.9053850578574687e-05,,,,,,
2400,0.021561309695243835,0.02106417901813984,0.0,0.0009942613542079926,0.0,2.8912786689410104e-05,,,,,,
2410,0.35663455724716187,0.3558710217475891,0.0,0.0015270821750164032,0.0,2.8771667025846107e-05,,,,,,
2420,0.17046955227851868,0.17026591300964355,0.0,0.000407281331717968,0.0,2.863049715904536e-05,,,,,,
2430,0.3202519416809082,0.3202519416809082,0.0,0.0,0.0,2.84892826621525e-05,,,,,,
2440,0.10317663103342056,0.10317663103342056,0.0,0.0,0.0,2.8348029110074052e-05,,,,,,
2450,0.035479385405778885,0.03520197421312332,0.0,0.0005548233166337013,0.0,2.8206742079258405e-05,,,,,,
2460,0.29385265707969666,0.2749581038951874,0.0,0.03778911754488945,0.0,2.8065427147475613e-05,,,,,,
2470,0.44046294689178467,0.44046294689178467,0.0,0.0,0.0,2.79240898935972e-05,,,,,,
2480,0.021534759551286697,0.021534759551286697,0.0,0.0,0.0,2.7782735897375947e-05,,,,,,
2490,0.0239687692373991,0.02281663566827774,0.0,0.0023042671382427216,0.0,2.7641370739225583e-05,,,,,,
2500,0.02395031228661537,0.02395031228661537,0.0,0.0,0.0,2.7500000000000496e-05,0.5906255756368602,0.14415721309735283,0.4464683625395074,0.794803311474418,0.7856706724650552,0.009132639009362786
